nombre_superheroe,chin,left_eyebrow,right_eyebrow,nose_bridge,nose_tip,left_eye,right_eye,top_lip,bottom_lip
black_widow,"[(-13, 88), (-10, 114), (-5, 140), (2, 165), (16, 187), (35, 206), (60, 221), (91, 228), (120, 227), (144, 224), (161, 213), (172, 195), (180, 174), (186, 151), (193, 129), (197, 108), (196, 86)]","[(24, 59), (42, 50), (62, 46), (82, 48), (100, 54)]","[(142, 51), (157, 45), (172, 42), (186, 45), (195, 53)]","[(123, 73), (125, 90), (128, 107), (130, 124)]","[(102, 136), (113, 139), (124, 142), (134, 138), (142, 134)]","[(46, 77), (59, 70), (73, 70), (85, 77), (73, 80), (59, 81)]","[(144, 76), (157, 68), (170, 68), (178, 75), (170, 79), (158, 79)]","[(77, 174), (95, 163), (112, 157), (122, 159), (133, 157), (143, 161), (150, 171), (144, 171), (132, 165), (122, 166), (112, 167), (85, 174)]","[(150, 171), (144, 180), (134, 184), (123, 185), (112, 185), (95, 182), (77, 174), (85, 174), (113, 173), (123, 173), (133, 172), (144, 171)]"
black_widow,"[(-19, 71), (-17, 94), (-13, 116), (-8, 138), (1, 158), (14, 174), (33, 185), (58, 191), (84, 192), (107, 191), (127, 184), (141, 170), (149, 152), (154, 132), (159, 113), (162, 93), (162, 73)]","[(9, 38), (25, 30), (42, 27), (59, 28), (74, 34)]","[(107, 34), (120, 29), (134, 27), (147, 31), (156, 40)]","[(91, 52), (92, 67), (93, 82), (94, 97)]","[(72, 111), (81, 114), (91, 116), (98, 114), (105, 111)]","[(25, 57), (36, 50), (49, 51), (60, 59), (48, 61), (35, 61)]","[(111, 60), (122, 52), (135, 52), (143, 59), (135, 63), (123, 62)]","[(53, 152), (67, 141), (80, 137), (89, 139), (97, 137), (107, 142), (114, 153), (108, 152), (97, 145), (89, 146), (80, 145), (60, 151)]","[(114, 153), (107, 160), (98, 162), (89, 163), (79, 162), (66, 159), (53, 152), (60, 151), (80, 152), (89, 153), (97, 153), (108, 152)]"
black_widow,"[(9, 43), (4, 70), (1, 97), (1, 126), (4, 154), (15, 178), (31, 198), (50, 214), (77, 223), (107, 225), (136, 220), (161, 209), (182, 191), (196, 169), (207, 142), (215, 116), (221, 88)]","[(36, 22), (50, 12), (69, 11), (86, 18), (100, 28)]","[(131, 37), (149, 34), (169, 36), (186, 44), (197, 58)]","[(110, 50), (106, 63), (102, 76), (98, 90)]","[(78, 104), (86, 109), (94, 114), (105, 114), (116, 114)]","[(52, 42), (63, 37), (75, 40), (84, 50), (72, 49), (60, 47)]","[(136, 62), (148, 57), (161, 60), (171, 70), (159, 70), (147, 67)]","[(54, 141), (68, 132), (82, 131), (90, 136), (100, 136), (114, 146), (127, 162), (120, 159), (98, 145), (88, 143), (79, 140), (61, 142)]","[(127, 162), (109, 170), (93, 170), (83, 168), (73, 164), (62, 155), (54, 141), (61, 142), (77, 152), (87, 156), (96, 158), (120, 159)]"
black_widow,"[(7, 60), (6, 87), (7, 113), (11, 140), (19, 166), (30, 190), (46, 209), (68, 221), (97, 224), (125, 223), (152, 217), (174, 202), (189, 182), (202, 159), (211, 133), (218, 107), (221, 79)]","[(27, 23), (38, 9), (55, 4), (73, 4), (90, 10)]","[(125, 10), (145, 4), (166, 5), (185, 16), (196, 33)]","[(105, 36), (103, 52), (101, 66), (99, 82)]","[(80, 101), (90, 105), (99, 108), (110, 107), (120, 105)]","[(45, 43), (56, 37), (68, 37), (79, 45), (68, 46), (56, 46)]","[(135, 48), (148, 42), (161, 44), (171, 53), (160, 54), (148, 52)]","[(66, 148), (74, 132), (89, 127), (99, 130), (110, 129), (126, 138), (137, 156), (130, 154), (110, 141), (98, 140), (88, 139), (72, 147)]","[(137, 156), (124, 166), (109, 170), (97, 171), (85, 168), (72, 161), (66, 148), (72, 147), (87, 154), (98, 156), (109, 156), (130, 154)]"
black_widow,"[(8, 19), (8, 28), (9, 37), (10, 46), (13, 55), (17, 62), (23, 69), (29, 74), (37, 75), (45, 75), (52, 71), (57, 65), (62, 59), (66, 51), (69, 44), (71, 35), (72, 26)]","[(14, 14), (18, 11), (23, 10), (29, 11), (34, 13)]","[(46, 14), (52, 12), (58, 12), (63, 15), (66, 19)]","[(40, 20), (39, 25), (39, 31), (38, 36)]","[(32, 39), (35, 41), (38, 42), (41, 42), (44, 41)]","[(21, 20), (24, 18), (28, 18), (31, 21), (27, 22), (23, 21)]","[(48, 23), (52, 21), (56, 21), (59, 24), (56, 25), (52, 24)]","[(27, 52), (30, 48), (34, 47), (38, 48), (41, 48), (46, 50), (48, 54), (46, 54), (41, 51), (38, 51), (34, 50), (29, 52)]","[(48, 54), (45, 59), (41, 61), (37, 61), (33, 60), (29, 57), (27, 52), (29, 52), (34, 56), (37, 56), (41, 56), (46, 54)]"
black_widow,"[(0, 26), (0, 34), (1, 43), (3, 50), (6, 58), (10, 65), (16, 71), (24, 75), (32, 75), (41, 75), (49, 72), (55, 67), (59, 61), (62, 53), (65, 46), (66, 38), (68, 29)]","[(8, 17), (11, 12), (17, 11), (22, 12), (28, 14)]","[(41, 16), (47, 14), (52, 14), (58, 16), (61, 20)]","[(34, 22), (34, 27), (34, 31), (34, 36)]","[(27, 40), (30, 42), (34, 43), (37, 42), (41, 40)]","[(15, 23), (18, 22), (22, 22), (25, 23), (21, 24), (18, 24)]","[(43, 24), (46, 24), (50, 24), (53, 25), (50, 26), (46, 26)]","[(23, 55), (26, 50), (30, 48), (33, 49), (37, 48), (41, 50), (43, 56), (41, 55), (37, 51), (33, 51), (30, 51), (25, 54)]","[(43, 56), (41, 58), (37, 59), (33, 59), (29, 59), (26, 57), (23, 55), (25, 54), (30, 54), (33, 55), (37, 54), (41, 55)]"
black_widow,"[(-6, 63), (-2, 84), (5, 104), (14, 125), (24, 146), (38, 165), (54, 182), (74, 193), (97, 194), (121, 190), (145, 178), (163, 159), (176, 135), (184, 109), (187, 82), (186, 54), (183, 27)]","[(-3, 38), (6, 30), (20, 29), (34, 31), (47, 36)]","[(76, 32), (92, 22), (109, 15), (129, 12), (147, 17)]","[(66, 51), (67, 68), (68, 85), (70, 102)]","[(55, 112), (65, 116), (76, 118), (87, 113), (98, 108)]","[(16, 56), (23, 51), (34, 50), (45, 54), (35, 58), (24, 59)]","[(97, 48), (107, 40), (119, 39), (132, 42), (121, 47), (109, 49)]","[(49, 144), (58, 138), (69, 136), (79, 137), (88, 134), (105, 135), (122, 139), (115, 140), (90, 143), (80, 145), (71, 144), (54, 144)]","[(122, 139), (108, 152), (93, 159), (82, 160), (72, 159), (59, 155), (49, 144), (54, 144), (71, 146), (80, 147), (90, 145), (115, 140)]"
black_widow,"[(35, 89), (37, 110), (41, 132), (48, 154), (56, 175), (67, 195), (80, 213), (97, 226), (119, 229), (141, 228), (163, 218), (180, 201), (193, 180), (204, 157), (209, 131), (211, 105), (211, 78)]","[(40, 61), (51, 55), (64, 57), (77, 61), (89, 67)]","[(116, 65), (131, 58), (148, 54), (165, 53), (181, 59)]","[(104, 83), (103, 101), (103, 118), (102, 136)]","[(88, 144), (97, 148), (106, 151), (117, 148), (127, 144)]","[(55, 83), (63, 78), (74, 78), (84, 84), (74, 87), (63, 87)]","[(133, 83), (143, 77), (155, 77), (166, 81), (156, 86), (145, 86)]","[(83, 178), (92, 173), (102, 170), (110, 173), (118, 170), (133, 173), (149, 178), (143, 178), (119, 179), (110, 180), (102, 179), (88, 179)]","[(149, 178), (136, 189), (121, 194), (112, 195), (103, 194), (92, 188), (83, 178), (88, 179), (103, 180), (110, 182), (119, 181), (143, 178)]"
black_widow,"[(32, 81), (34, 104), (39, 126), (46, 148), (56, 170), (68, 191), (81, 210), (98, 225), (118, 229), (141, 226), (163, 214), (182, 195), (199, 174), (210, 149), (216, 122), (218, 94), (219, 67)]","[(36, 61), (46, 54), (60, 55), (73, 59), (85, 65)]","[(112, 65), (128, 57), (146, 53), (165, 52), (182, 58)]","[(99, 83), (98, 100), (97, 117), (96, 134)]","[(84, 144), (92, 148), (101, 150), (111, 147), (122, 143)]","[(52, 82), (60, 77), (72, 77), (82, 84), (71, 88), (60, 88)]","[(130, 83), (139, 76), (152, 76), (165, 80), (153, 86), (141, 87)]","[(81, 178), (88, 173), (97, 170), (104, 172), (112, 170), (126, 172), (142, 178), (136, 178), (113, 178), (105, 179), (98, 178), (87, 179)]","[(142, 178), (129, 190), (116, 196), (107, 196), (99, 195), (90, 189), (81, 178), (87, 179), (98, 181), (106, 183), (114, 182), (136, 178)]"
black_widow,"[(0, 47), (1, 71), (5, 93), (10, 116), (20, 137), (32, 157), (49, 174), (67, 188), (89, 192), (111, 191), (131, 182), (147, 167), (159, 147), (168, 124), (173, 100), (177, 75), (178, 51)]","[(14, 23), (27, 16), (43, 18), (58, 23), (72, 31)]","[(99, 33), (115, 27), (132, 24), (148, 25), (162, 33)]","[(86, 48), (86, 65), (85, 82), (84, 100)]","[(66, 108), (75, 113), (85, 116), (96, 114), (106, 111)]","[(31, 42), (41, 37), (52, 38), (62, 46), (51, 49), (40, 48)]","[(112, 50), (123, 44), (136, 45), (146, 51), (136, 55), (124, 54)]","[(56, 141), (67, 136), (78, 135), (86, 138), (95, 136), (108, 140), (121, 148), (114, 148), (95, 145), (86, 145), (78, 144), (62, 142)]","[(121, 148), (108, 156), (95, 159), (85, 158), (77, 156), (65, 150), (56, 141), (62, 142), (77, 143), (86, 145), (95, 145), (114, 148)]"
black_widow,"[(2, 43), (1, 66), (3, 88), (8, 111), (16, 133), (28, 153), (42, 171), (59, 186), (79, 191), (100, 192), (122, 184), (140, 170), (154, 150), (165, 127), (172, 103), (176, 79), (178, 53)]","[(16, 21), (29, 16), (44, 19), (59, 25), (71, 33)]","[(100, 37), (116, 32), (132, 30), (148, 31), (161, 39)]","[(85, 50), (84, 68), (83, 85), (82, 103)]","[(62, 108), (71, 114), (81, 118), (92, 116), (103, 114)]","[(31, 41), (41, 38), (52, 40), (61, 48), (50, 49), (39, 48)]","[(112, 54), (122, 48), (134, 50), (144, 56), (134, 59), (122, 58)]","[(51, 140), (61, 135), (73, 135), (80, 139), (89, 138), (102, 144), (114, 152), (108, 151), (88, 146), (80, 145), (72, 143), (56, 141)]","[(114, 152), (101, 160), (87, 163), (78, 162), (69, 159), (59, 151), (51, 140), (56, 141), (71, 146), (79, 149), (88, 150), (108, 151)]"
black_widow,"[(9, 31), (7, 54), (8, 77), (11, 100), (17, 123), (26, 146), (37, 166), (52, 184), (71, 191), (93, 193), (118, 185), (138, 171), (156, 153), (170, 130), (180, 106), (186, 81), (190, 55)]","[(18, 12), (31, 8), (46, 13), (60, 21), (72, 30)]","[(99, 35), (117, 31), (134, 29), (151, 31), (166, 39)]","[(83, 47), (80, 65), (77, 83), (74, 101)]","[(56, 105), (64, 111), (74, 116), (86, 115), (97, 112)]","[(32, 34), (42, 32), (53, 34), (62, 42), (50, 43), (39, 41)]","[(112, 51), (124, 47), (136, 49), (147, 55), (135, 58), (123, 56)]","[(46, 136), (56, 133), (66, 133), (74, 137), (83, 137), (97, 142), (109, 150), (103, 150), (82, 145), (73, 144), (65, 142), (51, 138)]","[(109, 150), (95, 158), (80, 161), (70, 159), (62, 156), (53, 147), (46, 136), (51, 138), (64, 143), (72, 146), (81, 147), (103, 150)]"
black_widow,"[(12, 12), (9, 35), (8, 58), (10, 83), (15, 107), (22, 133), (33, 156), (47, 177), (67, 187), (92, 189), (119, 180), (142, 163), (163, 143), (179, 119), (189, 93), (195, 65), (199, 37)]","[(17, -5), (31, -7), (45, 0), (58, 9), (69, 18)]","[(98, 23), (116, 20), (134, 19), (152, 20), (168, 27)]","[(80, 36), (76, 54), (72, 72), (68, 90)]","[(52, 95), (60, 101), (69, 106), (80, 105), (91, 103)]","[(30, 21), (40, 19), (51, 22), (60, 31), (48, 31), (37, 29)]","[(111, 41), (123, 37), (136, 40), (147, 45), (135, 49), (122, 47)]","[(43, 126), (52, 124), (61, 125), (68, 129), (78, 128), (92, 133), (106, 141), (100, 140), (77, 137), (68, 136), (60, 133), (48, 128)]","[(106, 141), (91, 150), (76, 153), (66, 151), (58, 148), (49, 138), (43, 126), (48, 128), (60, 134), (67, 138), (76, 139), (100, 140)]"
black_widow,"[(5, 25), (2, 48), (2, 72), (4, 96), (11, 120), (20, 143), (31, 164), (45, 182), (63, 190), (84, 193), (108, 186), (130, 171), (149, 153), (166, 132), (178, 108), (185, 83), (190, 56)]","[(16, 8), (31, 5), (45, 11), (58, 20), (70, 30)]","[(98, 36), (116, 33), (133, 32), (150, 35), (164, 42)]","[(81, 49), (77, 67), (73, 84), (69, 102)]","[(51, 106), (59, 113), (69, 118), (80, 117), (92, 115)]","[(30, 32), (40, 30), (51, 33), (59, 43), (48, 43), (37, 39)]","[(109, 54), (121, 49), (133, 52), (143, 58), (132, 61), (120, 59)]","[(41, 135), (50, 134), (61, 135), (68, 139), (77, 139), (90, 145), (103, 153), (97, 152), (76, 147), (67, 145), (59, 143), (46, 137)]","[(103, 153), (88, 161), (73, 164), (64, 162), (55, 158), (47, 148), (41, 135), (46, 137), (58, 145), (66, 149), (74, 150), (97, 152)]"
black_widow,"[(8, 30), (4, 53), (2, 76), (3, 99), (8, 122), (16, 145), (28, 165), (42, 182), (61, 190), (82, 192), (106, 186), (127, 175), (145, 158), (159, 138), (169, 116), (177, 93), (183, 68)]","[(22, 14), (37, 10), (52, 14), (66, 22), (77, 32)]","[(106, 39), (124, 36), (141, 38), (156, 43), (166, 53)]","[(88, 51), (85, 68), (81, 86), (78, 103)]","[(57, 105), (65, 112), (74, 118), (86, 116), (96, 115)]","[(35, 36), (46, 34), (57, 37), (65, 46), (54, 45), (43, 43)]","[(113, 57), (125, 54), (137, 58), (146, 65), (135, 66), (124, 63)]","[(42, 132), (53, 131), (65, 133), (72, 137), (82, 137), (95, 143), (106, 151), (101, 150), (81, 144), (71, 142), (63, 139), (47, 134)]","[(106, 151), (92, 158), (77, 160), (67, 158), (58, 154), (48, 145), (42, 132), (47, 134), (61, 142), (69, 146), (79, 148), (101, 150)]"
black_widow,"[(6, 29), (2, 52), (1, 76), (4, 100), (10, 123), (21, 146), (34, 167), (51, 184), (72, 190), (93, 190), (114, 181), (132, 167), (148, 150), (160, 129), (168, 108), (174, 86), (177, 63)]","[(27, 12), (41, 9), (56, 12), (70, 20), (81, 30)]","[(109, 36), (124, 32), (139, 32), (152, 35), (162, 43)]","[(93, 46), (91, 63), (89, 80), (87, 97)]","[(65, 99), (73, 106), (83, 111), (94, 109), (103, 106)]","[(40, 33), (50, 32), (61, 34), (69, 41), (58, 42), (48, 39)]","[(114, 50), (125, 48), (136, 51), (144, 57), (134, 58), (124, 56)]","[(47, 128), (59, 126), (72, 127), (80, 131), (90, 130), (101, 134), (111, 141), (106, 141), (88, 137), (79, 137), (71, 134), (52, 130)]","[(111, 141), (100, 149), (87, 152), (76, 151), (67, 149), (56, 140), (47, 128), (52, 130), (70, 136), (78, 139), (88, 139), (106, 141)]"
black_widow,"[(37, 41), (33, 66), (31, 90), (33, 115), (38, 139), (45, 164), (55, 187), (68, 208), (86, 218), (107, 221), (129, 212), (148, 197), (166, 179), (182, 158), (193, 134), (202, 108), (208, 82)]","[(48, 26), (62, 23), (77, 30), (89, 38), (100, 49)]","[(132, 56), (149, 54), (166, 54), (182, 57), (193, 67)]","[(112, 69), (107, 87), (103, 106), (98, 125)]","[(80, 126), (87, 133), (96, 139), (107, 138), (119, 136)]","[(59, 50), (70, 49), (81, 53), (89, 62), (78, 62), (67, 59)]","[(139, 75), (151, 71), (163, 75), (172, 81), (161, 84), (149, 81)]","[(65, 153), (76, 153), (87, 155), (95, 160), (104, 160), (117, 165), (130, 172), (124, 172), (102, 168), (93, 166), (85, 163), (71, 156)]","[(130, 172), (114, 183), (99, 185), (90, 183), (81, 179), (72, 168), (65, 153), (71, 156), (84, 166), (92, 170), (101, 172), (124, 172)]"
black_widow,"[(8, 9), (3, 33), (1, 58), (2, 83), (6, 109), (14, 134), (24, 158), (37, 178), (55, 188), (76, 192), (103, 186), (126, 174), (148, 158), (166, 137), (179, 113), (189, 88), (196, 61)]","[(19, -5), (36, -6), (52, 2), (66, 12), (77, 24)]","[(107, 32), (126, 30), (144, 31), (161, 35), (174, 44)]","[(87, 45), (82, 63), (77, 81), (72, 99)]","[(52, 101), (60, 108), (69, 114), (81, 114), (93, 113)]","[(32, 22), (44, 21), (55, 26), (64, 36), (51, 35), (40, 31)]","[(116, 51), (129, 47), (142, 51), (152, 58), (139, 61), (127, 58)]","[(37, 129), (48, 128), (60, 130), (67, 135), (76, 136), (89, 142), (102, 152), (95, 150), (74, 144), (65, 142), (57, 138), (43, 131)]","[(102, 152), (85, 159), (70, 161), (60, 158), (51, 153), (43, 143), (37, 129), (43, 131), (55, 140), (63, 145), (72, 147), (95, 150)]"
black_widow,"[(22, 43), (17, 69), (16, 94), (18, 120), (24, 146), (32, 172), (42, 196), (55, 216), (74, 226), (96, 229), (120, 220), (141, 205), (162, 187), (179, 165), (191, 141), (200, 115), (206, 88)]","[(38, 29), (53, 26), (69, 32), (83, 40), (95, 50)]","[(127, 59), (144, 56), (161, 57), (177, 61), (188, 71)]","[(106, 73), (101, 91), (97, 109), (92, 128)]","[(73, 132), (80, 138), (89, 143), (101, 143), (112, 141)]","[(51, 55), (62, 53), (74, 57), (83, 67), (70, 67), (59, 63)]","[(133, 79), (145, 76), (157, 79), (167, 86), (155, 89), (143, 86)]","[(57, 159), (68, 159), (80, 160), (87, 165), (96, 165), (109, 171), (121, 179), (115, 178), (94, 173), (86, 171), (78, 168), (62, 162)]","[(121, 179), (105, 190), (90, 193), (81, 191), (72, 187), (63, 176), (57, 159), (62, 162), (76, 174), (84, 178), (93, 180), (115, 178)]"
